miRNA	miRNAp
hsa-mir-520a	hsa-mir-520a-3p
hsa-mir-520b	hsa-mir-520b
hsa-mir-520c	hsa-mir-520c-3p
hsa-mir-519d	hsa-mir-519d-3p
hsa-mir-520d	hsa-mir-520d-3p
hsa-mir-371a	hsa-mir-371a-5p
hsa-mir-372	hsa-mir-372-3p
hsa-mir-373	hsa-mir-373-3p
hsa-mir-4429	hsa-mir-4429
hsa-mir-4262	hsa-mir-4262
hsa-mir-217	hsa-mir-217
hsa-mir-216a	hsa-mir-216a-5p
hsa-mir-216b	hsa-mir-216b-5p
hsa-mir-4782	hsa-mir-4782-3p
hsa-mir-128	hsa-mir-128-3p
hsa-mir-10b	hsa-mir-10b-5p
hsa-mir-26b	hsa-mir-26b-5p
hsa-mir-375	hsa-mir-375
hsa-mir-153	hsa-mir-153-3p
hsa-mir-149	hsa-mir-149-5p
hsa-mir-103a	hsa-mir-103a-3p
hsa-mir-499a	hsa-mir-499a-5p
hsa-mir-296	hsa-mir-296-3p
hsa-mir-124	hsa-mir-124-3p
hsa-mir-99a	hsa-mir-99a-5p
hsa-let-7c	hsa-let-7c-5p
hsa-mir-155	hsa-mir-155-5p
hsa-mir-185	hsa-mir-185-5p
hsa-mir-301b	hsa-mir-301b
hsa-mir-130b	hsa-mir-130b-3p
hsa-mir-33a	hsa-mir-33a-5p
hsa-mir-378i	hsa-mir-378i
hsa-mir-3619	hsa-mir-3619-5p
hsa-let-7b	hsa-let-7b-5p
hsa-mir-378b	hsa-mir-378b
hsa-mir-425	hsa-mir-425-5p
hsa-mir-191	hsa-mir-191-5p
hsa-let-7g	hsa-let-7g-5p
hsa-mir-15b	hsa-mir-15b-5p
hsa-mir-551b	hsa-mir-551b-3p
hsa-mir-28	hsa-mir-28-5p
hsa-mir-378d	hsa-mir-378d
hsa-mir-218	hsa-mir-218-5p
hsa-mir-367	hsa-mir-367-3p
hsa-mir-302d	hsa-mir-302d-3p
hsa-mir-302a	hsa-mir-302a-3p
hsa-mir-302c	hsa-mir-302c-3p
